Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,76858506,9845.68887118237,4639259,570357,1711498,219.24543799551458,79931,11496,
United States of America,Americas,17895109,54063.34,1649733,182819,317032,957.79,18438,1714,Community transmission
India,South-East Asia,10099066,7318.14,166519,23950,146444,106.12,2348,333,Clusters of cases
Brazil,Americas,7263619,34172.18,336474,25019,187291,881.12,5456,527,Community transmission
Russian Federation,Europe,2933753,20103.22,199299,27250,52461,359.48,3897,549,Clusters of cases
France,Europe,2448543,37512.05,98336,11670,61326,939.52,2626,801,Community transmission
The United Kingdom,Europe,2110318,31086.2,222198,36803,68307,1006.2,3399,691,Community transmission
Italy,Europe,1977370,32704.44,106794,13316,69842,1155.14,3985,628,Clusters of cases
Spain,Europe,1829903,39138.31,56559,5525,49520,1059.14,653,24,Community transmission
Germany,Europe,1554920,18558.69,175682,24740,27968,333.81,4541,962,Clusters of cases
Argentina,Americas,1547138,34231.92,43916,5853,41997,929.22,956,184,Community transmission
Colombia,Americas,1518067,29834.53,83551,10845,40680,799.48,1485,205,Community transmission
Mexico,Americas,1325915,10283.77,69941,5370,118598,919.84,4300,396,Community transmission
Turkey,Europe,1248622,14804.79,164513,19256,18602,220.56,1721,251,Community transmission
Poland,Europe,1226883,32417.25,66982,12358,26255,693.72,2341,472,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1170743,13938.59,47269,6208,54003,642.95,1333,187,Community transmission
Peru,Americas,998475,30282.65,12345,958,37173,1127.42,419,70,Community transmission
Ukraine,Europe,989642,22628.79,69938,10136,17172,392.65,1428,275,Community transmission
South Africa,Africa,940212,15852.85,66533,9501,25246,425.67,1585,339,Community transmission
Netherlands,Europe,710739,41479.1,82497,9872,10633,620.55,473,116,Community transmission
Indonesia,South-East Asia,678125,2479.22,48696,6347,20257,74.06,1146,172,Community transmission
Czechia,Europe,646312,60352.33,52164,10898,10664,995.8,782,102,Community transmission
Belgium,Europe,629109,54282.09,12141,0,18821,1623.95,475,0,Community transmission
Romania,Europe,598792,31125.98,33034,5009,14636,760.8,938,155,Community transmission
Chile,Americas,589189,30821.45,13860,1701,16217,848.34,268,20,Community transmission
Iraq,Eastern Mediterranean,586503,14581.47,9140,1158,12725,316.37,111,15,Community transmission
Canada,Americas,515314,13653.54,46452,7519,14332,379.73,779,104,Community transmission
Bangladesh,South-East Asia,503501,3057.28,9292,1318,7329,44.5,200,17,Community transmission
Philippines,Western Pacific,462815,4223.49,10976,1310,9021,82.32,209,64,Community transmission
Pakistan,Eastern Mediterranean,460672,2085.5,17426,1704,9474,42.89,569,82,Clusters of cases
Morocco,Eastern Mediterranean,420648,11396.41,17029,2646,7030,190.46,319,30,Clusters of cases
Switzerland,Europe,416394,48112.33,29199,4232,6308,728.86,634,128,Community transmission
Sweden,Europe,389439,38561.12,47821,5145,8167,808.67,153,4,Community transmission
Israel,Europe,380152,43920.1,20182,3822,3132,361.85,117,23,Community transmission
Portugal,Europe,378656,37135.12,25080,2436,6254,613.34,521,63,Clusters of cases
Saudi Arabia,Eastern Mediterranean,361359,10379.74,1204,181,6139,176.34,70,8,Sporadic cases
Austria,Europe,339933,37743.5,14422,2493,5470,607.35,819,114,Community transmission
Hungary,Europe,308262,31910.02,19695,1894,8616,891.89,1235,154,Community transmission
Serbia,Europe,307827,44204.11,30579,4080,2782,399.5,349,49,Community transmission
Jordan,Eastern Mediterranean,279892,27431.96,14868,2444,3627,355.48,190,23,Community transmission
Nepal,South-East Asia,255236,8759.92,5056,722,1798,61.71,68,3,Clusters of cases
Georgia,Europe,214871,53863.63,16484,2345,2233,559.77,311,51,Community transmission
Panama,Americas,214038,49605.92,19419,1699,3597,833.65,215,31,Community transmission
Ecuador,Americas,206364,11696.61,4008,35,13949,790.62,53,0,Community transmission
Azerbaijan,Europe,205877,20305.1,22618,2284,2294,226.25,287,41,Clusters of cases
Japan,Western Pacific,203113,1605.94,19071,2455,2994,23.67,306,50,Clusters of cases
Croatia,Europe,200086,48738.85,20368,2763,3394,826.74,616,66,Community transmission
United Arab Emirates,Eastern Mediterranean,195878,19804.86,8611,1226,642,64.91,20,3,Community transmission
Bulgaria,Europe,194271,27958.92,9984,1799,6879,990.01,874,114,Clusters of cases
Kazakhstan,Europe,193503,10305.48,4666,924,2669,142.14,60,0,Clusters of cases
Belarus,Europe,177274,18760.5,13215,1858,1341,141.91,59,8,Community transmission
Dominican Republic,Americas,161930,14927.3,6133,878,2398,221.06,31,13,Community transmission
Lebanon,Eastern Mediterranean,160979,23585.13,12102,1693,1311,192.08,88,17,Community transmission
Costa Rica,Americas,159893,31387.77,6724,635,2037,399.87,101,14,Community transmission
Slovakia,Europe,158905,29105.39,19817,3687,1686,308.81,377,68,Clusters of cases
Armenia,Europe,155440,52456.04,5222,838,2691,908.13,135,18,Community transmission
Bolivia (Plurinational State of),Americas,150385,12883.13,3040,362,9043,774.69,19,7,Community transmission
Kuwait,Eastern Mediterranean,148507,34774.51,1797,298,923,216.13,10,1,Community transmission
Qatar,Eastern Mediterranean,142308,49394.44,1036,149,243,84.34,2,0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,141608,27758.58,13096,1561,1316,257.97,186,29,Community transmission
Denmark,Europe,140175,24200.64,24088,2543,1070,184.73,109,17,Community transmission
Republic of Moldova,Europe,136931,33944.54,8275,1021,2803,694.85,178,25,Community transmission
Guatemala,Americas,133601,7457.26,3519,734,4718,263.35,242,30,Community transmission
Greece,Europe,132430,12705.49,6058,833,4340,416.38,555,83,Community transmission
Oman,Eastern Mediterranean,128143,25093.48,1424,212,1490,291.78,15,1,Community transmission
Egypt,Eastern Mediterranean,127061,1241.63,4452,788,7167,70.04,201,37,Clusters of cases
Tunisia,Eastern Mediterranean,123323,10434.64,10082,1605,4237,358.5,281,38,Community transmission
Ethiopia,Africa,120638,1049.36,3096,290,1864,16.21,51,3,Community transmission
Lithuania,Europe,120094,44115.08,20225,3736,1143,419.87,236,50,Community transmission
Honduras,Americas,117190,11831.87,2548,168,3034,306.32,45,7,Community transmission
Myanmar,South-East Asia,116982,2150.02,7470,848,2465,45.3,173,22,Clusters of cases
Venezuela (Bolivarian Republic of),Americas,110513,3886.38,2388,438,993,34.92,33,5,Community transmission
Slovenia,Europe,107805,51855.8,9523,1509,2402,1155.4,321,39,Clusters of cases
Bosnia and Herzegovina,Europe,106986,32609.54,4656,764,3792,1155.81,335,86,Community transmission
Paraguay,Americas,100612,14106.06,6389,823,2103,294.85,132,15,Community transmission
Malaysia,Western Pacific,97389,3008.99,10771,2062,439,13.56,17,1,Clusters of cases
Algeria,Africa,96069,2190.8,3004,410,2687,61.28,64,12,Community transmission
China,Western Pacific,95998,65.25,719,82,4773,3.24,9,1,Clusters of cases
Libya,Eastern Mediterranean,95706,13928.38,3689,506,1385,201.56,66,16,Community transmission
Kenya,Africa,94768,1762.43,2309,154,1647,30.63,43,3,Community transmission
Bahrain,Eastern Mediterranean,90634,53264.77,1190,184,350,205.69,2,0,Clusters of cases
Ireland,Europe,81228,16450.29,4452,961,2171,439.67,37,13,Community transmission
Nigeria,Africa,79789,387.06,5657,999,1231,5.97,31,4,Community transmission
Kyrgyzstan,Europe,79659,12209.78,1508,230,1337,204.93,20,2,Clusters of cases
North Macedonia,Europe,79190,38010.35,4458,756,2340,1123.17,171,26,Community transmission
Uzbekistan,Europe,76315,2280.16,919,267,612,18.29,0,0,Clusters of cases
Puerto Rico,Americas,69912,24437.47,6493,1063,1391,486.22,97,9,Community transmission
Singapore,Western Pacific,58461,9992.75,120,29,29,4.96,0,0,Sporadic cases
Ghana,Africa,53954,1736.37,568,0,333,10.72,6,0,Community transmission
Albania,Europe,53814,18699.72,3814,389,1111,386.06,83,13,Clusters of cases
Republic of Korea,Western Pacific,52550,1024.98,7111,1092,739,14.41,127,17,Clusters of cases
Afghanistan,Eastern Mediterranean,51070,1311.9,1367,182,2105,54.07,104,16,Clusters of cases
Kosovo[1],Europe,49263,26480.06,2103,137,1262,678.36,52,10,Community transmission
Luxembourg,Europe,44809,71582.39,2560,227,453,723.67,35,3,Community transmission
Montenegro,Europe,44632,71062.6,1725,0,638,1015.82,28,0,Clusters of cases
Norway,Europe,44336,8178.2,3002,431,405,74.71,10,0,Clusters of cases
